n   x.1         x.2         y
1   -1.6150201  -0.64184511 -1
2   0.3997080   0.42741829 -1
3   -1.3125476  -1.55267436 -1
4   -0.3218616  -1.32913203 -1
5   -1.4774699  1.44241063 -1
6   -1.3824493  0.03698684 -1
7   -1.1047901  -0.09404923 -1
8   0.8023520   1.08565477 -1
9   0.3041826   1.93104710 -1
10  1.3406897   0.67934047 -1
11  0.3863635   -0.15935234 -1
12  0.6912541   -2.07130487 -1
13  1.9052321   1.13334819 -1
14  0.1489628   1.42427813 -1
15  -0.6105620  0.99905166 -1
16  1.9362791   2.34199455  1
17  2.4438225   -0.63646855  1
18  1.7121408   1.87676723  1
19  1.6244603   1.30235450  1
20  1.3611382   0.22112625  1
21  -0.8995433  0.78642794  1
22  1.3681091   1.65642669  1
23  -0.3099728  1.46620795  1
24  -0.4353402  0.76849845  1
25  2.0577155   0.49518341  1
26  0.6402795   0.99840853  1
27  0.6562678   1.24686022  1
28  1.5369688   1.15827019  1
29  1.4492490   1.46641230  1
30  0.3584979   0.72446147  1
